Cluster,Num_Jobs,Example_Jobs,Top_Keywords
0,281,"['metal drawing machine operator', 'hydrogenation machine operator', 'pasta operator', 'nonwoven filament machine operator', 'nitroglycerin separator operator']","['operators', 'machine', 'machines', 'tend', 'operate']"
1,385,"['technical director', 'asphalt laboratory technician', 'mine surveyor', 'dismantling engineer', 'biomedical engineer']","['production', 'design', 'engineers', 'quality', 'processes']"
2,367,"['precision device inspector', 'tile fitter', 'protective clothing apparel manufacturer', 'gear machinist', 'ceramic painter']","['create', 'distribution', 'use', 'tools', 'products']"
3,104,"['primary school teaching assistant', 'performing arts theatre instructor', 'adult literacy teacher', 'special educational needs teacher secondary school', 'primary school teacher']","['students', 'teachers', 'university', 'field', 'subject']"
4,72,"['import export manager in meat and meat products', 'import export manager in agricultural machinery and equipment', 'import export manager in machinery, industrial equipment, ships and aircraft', 'import export manager in hardware, plumbing and heating equipment and supplies', 'import export manager in flowers and plants']","['export', 'import', 'border', 'cross', 'coordinating']"
5,487,"['air traffic safety technician', 'rental service representative in other machinery, equipment and tangible goods', 'food safety specialist', 'land-based machinery technician', 'bus driver']","['equipment', 'systems', 'safety', 'repair', 'maintenance']"
6,36,"['wholesale merchant in perfume and cosmetics', 'wholesale merchant in household goods', 'wholesale merchant in electronic and telecommunications equipment and parts', 'wholesale merchant in fish crustaceans and molluscs', 'wholesale merchant in computer peripheral equipment and software']","['wholesale', 'merchants', 'conclude', 'quantities', 'trades']"
7,49,"['hardware and paint specialised seller', 'fish and seafood specialised seller', 'ammunition specialised seller', 'sporting accessories specialised seller', 'bookshop specialised seller']","['specialised', 'sell', 'sellers', 'shops', 'technical']"
8,1213,"['hospitality revenue manager', 'medical laboratory assistant', 'physiotherapist', 'housing policy officer', 'head chef']","['provide', 'managers', 'services', 'clients', 'ensure']"
9,45,"['tobacco shop manager', 'shoe and leather accessories shop manager', 'audiology equipment shop manager', 'telecommunication equipment shop manager', 'domestic appliances shop manager']","['shop', 'assume', 'responsibility', 'staff', 'shops']"
